EMDH0-EMDU0,EMDW2H20
HOH1-HOJ2,HOES13H21
HOH1-HOK2,HOES14H21
HOH1-HOM2,HOES15H21
HOH1-HON2,HOES16H21
HOH1-HOQ2,HOES17H21
HOH1-HOU2,HOES18H21
HOX0-HOZ2,HOES25X20
HOX0-HOF3,HOES26X20
HOZ0-HOG2,HOES14Z20
HOZ0-HOH2,HOES15Z20
HOV0-HOV2,HOES24V20
HOV0-HOX2,HOES25V20
HOV0-HOZ2,HOES26V20
HOV0-HOF3,HOES27V20
HOQ1-HOF3,HOES17Q21
HOU1-HOG2,HOES5U21
HOU1-HOH2,HOES6U21
HOU1-HOJ2,HOES7U21
HOU1-HOK2,HOES8U21
HOU1-HOM2,HOES9U21
HOU1-HON2,HOES10U21
HOU1-HOQ2,HOES11U21
HOU1-HOU2,HOES12U21
HOU1-HOV2,HOES13U21
HOU1-HOX2,HOES14U21
HOU1-HOZ2,HOES15U21
HOU1-HOF3,HOES16U21
HOV1-HOG2,HOES4V21
HOV1-HOH2,HOES5V21
HOV1-HOJ2,HOES6V21
HOV1-HOK2,HOES7V21
HOV1-HOM2,HOES8V21
HOX1-HOX2,HOES12X21
HOX1-HOZ2,HOES13X21
HOX1-HOF3,HOES14X21
HOZ1-HOG2,HOES2Z21
HOZ1-HOH2,HOES3Z21
HOZ1-HOJ2,HOES4Z21
HOZ1-HOK2,HOES5Z21
HOZ1-HOM2,HOES6Z21
HOG2-HOQ2,HOES6G22
HOG2-HOU2,HOES7G22
HOG2-HOV2,HOES8G22
HOG2-HOX2,HOES9G22
HOG2-HOZ2,HOES10G22
HOG2-HOF3,HOES11G22
HOJ1-HOF3,HOES21J21
HOK1-HOG2,HOES9K21
HOK1-HOH2,HOES10K21
HOK1-HOJ2,HOES11K21
HOK1-HOK2,HOES12K21
HOK1-HOM2,HOES13K21
HOK1-HON2,HOES14K21
HOK1-HOQ2,HOES15K21
HOK1-HOU2,HOES16K21
HOK1-HOV2,HOES17K21
HOK1-HOX2,HOES18K21
HOK1-HOZ2,HOES19K21
HOK1-HOF3,HOES20K21
HOM1-HOG2,HOES8M21
HOM1-HOH2,HOES9M21
HOM1-HOJ2,HOES10M21
HOM1-HOK2,HOES11M21
HOM1-HOM2,HOES12M21
HOM1-HON2,HOES13M21
HOM1-HOQ2,HOES14M21
HOZ1-HON2,HOES7Z21
HOZ1-HOQ2,HOES8Z21
HOZ1-HOU2,HOES9Z21
HOZ1-HOV2,HOES10Z21
HOZ1-HOX2,HOES11Z21
HOZ1-HOZ2,HOES12Z21
HOZ1-HOF3,HOES13Z21
HOF2-HOG2,HOES1F22
HOF2-HOH2,HOES2F22
HOF2-HOJ2,HOES3F22
HOF2-HOK2,HOES4F22
HOF2-HOM2,HOES5F22
HOF2-HON2,HOES6F22
HOF2-HOQ2,HOES7F22
HOF2-HOU2,HOES8F22
HOQ1-HOH2,HOES7Q21
HOQ1-HOJ2,HOES8Q21
HOQ1-HOK2,HOES9Q21
HOQ1-HOM2,HOES10Q21
HOV1-HON2,HOES9V21
HOV1-HOQ2,HOES10V21
HOV1-HOU2,HOES11V21
HOV1-HOV2,HOES12V21
HOV1-HOX2,HOES13V21
HOV1-HOZ2,HOES14V21
HOV1-HOF3,HOES15V21
HOX1-HOG2,HOES3X21
HON1-HOG2,HOES7N21
HON1-HOH2,HOES8N21
HON1-HOJ2,HOES9N21
HON1-HOK2,HOES10N21
HON1-HOM2,HOES11N21
HON1-HON2,HOES12N21
HON1-HOQ2,HOES13N21
HOQ1-HON2,HOES11Q21
HOQ1-HOQ2,HOES12Q21
HOQ1-HOU2,HOES13Q21
HOQ1-HOV2,HOES14Q21
HOQ1-HOX2,HOES15Q21
HOQ1-HOZ2,HOES16Q21
HOX1-HOH2,HOES4X21
HOX1-HOJ2,HOES5X21
HOX1-HOK2,HOES6X21
HOX1-HOM2,HOES7X21
HOJ1-HOQ2,HOES16J21
HOJ1-HOU2,HOES17J21
HOJ1-HOV2,HOES18J21
HOJ1-HOX2,HOES19J21
HOJ1-HOZ2,HOES20J21
HOM1-HOU2,HOES15M21
HOM1-HOV2,HOES16M21
HOM1-HOX2,HOES17M21
HOM1-HOZ2,HOES18M21
HOM1-HOF3,HOES19M21
HOX1-HON2,HOES8X21
HOX1-HOQ2,HOES9X21
HOX1-HOU2,HOES10X21
HOX1-HOV2,HOES11X21
HON1-HOU2,HOES14N21
HON1-HOV2,HOES15N21
HON1-HOX2,HOES16N21
HON1-HOZ2,HOES17N21
HON1-HOF3,HOES18N21
HOQ1-HOG2,HOES6Q21
HOF2-HOV2,HOES9F22
HOF2-HOX2,HOES10F22
HOF2-HOZ2,HOES11F22
HOF2-HOF3,HOES12F22
HOG2-HOH2,HOES1G22
HOG2-HOJ2,HOES2G22
HOG2-HOK2,HOES3G22
HOG2-HOM2,HOES4G22
HOG2-HON2,HOES5G22
HOH2-HOU2,HOES6H22
HOH2-HOV2,HOES7H22
HOH2-HOX2,HOES8H22
HOH2-HOZ2,HOES9H22
HOH2-HOF3,HOES10H22
HOJ2-HOK2,HOES1J22
HOJ2-HOM2,HOES2J22
HOJ2-HON2,HOES3J22
HOJ2-HOQ2,HOES4J22
HOJ2-HOU2,HOES5J22
HOH2-HON2,HOES4H22
HOH2-HOQ2,HOES5H22
HOH2-HOJ2,HOES1H22
HOH2-HOK2,HOES2H22
HOH2-HOM2,HOES3H22
HOJ2-HOV2,HOES6J22
HOJ2-HOX2,HOES7J22
HOJ2-HOZ2,HOES8J22
HOJ2-HOF3,HOES9J22
HOK2-HOM2,HOES1K22
HOK2-HON2,HOES2K22
HOK2-HOQ2,HOES3K22
HOK2-HOU2,HOES4K22
HOK2-HOV2,HOES5K22
HOK2-HOX2,HOES6K22
HOK2-HOZ2,HOES7K22
HOK2-HOF3,HOES8K22
HOM2-HON2,HOES1M22
HOM2-HOQ2,HOES2M22
HOM2-HOU2,HOES3M22
HOM2-HOV2,HOES4M22
HOM2-HOX2,HOES5M22
HOM2-HOZ2,HOES6M22
HOQ2-HOU2,HOES1Q22
HOQ2-HOV2,HOES2Q22
HOQ2-HOX2,HOES3Q22
HOQ2-HOZ2,HOES4Q22
HOV2-HOX2,HOES1V22
HOV2-HOZ2,HOES2V22
HOV2-HOF3,HOES3V22
HOX2-HOZ2,HOES1X22
HOX2-HOF3,HOES2X22
HOM2-HOF3,HOES7M22
HON2-HOQ2,HOES1N22
HON2-HOU2,HOES2N22
HON2-HOV2,HOES3N22
HON2-HOX2,HOES4N22
HON2-HOZ2,HOES5N22
HON2-HOF3,HOES6N22
HOQ2-HOF3,HOES5Q22
HOU2-HOV2,HOES1U22
HOU2-HOX2,HOES2U22
HOU2-HOZ2,HOES3U22
HOU2-HOF3,HOES4U22
HOZ2-HOF3,HOES1Z22
HOJ0-HOZ1,HOES20J20
HOJ0-HOF2,HOES21J20
HOK0-HOG1,HOES9K20
HOK0-HOH1,HOES10K20
HOK0-HOJ1,HOES11K20
HOK0-HOK1,HOES12K20
HOK0-HOM1,HOES13K20
HOK0-HON1,HOES14K20
HOK0-HOQ1,HOES15K20
HOK0-HOU1,HOES16K20
HOK0-HOV1,HOES17K20
HOK0-HOX1,HOES18K20
HOK0-HOZ1,HOES19K20
HOK0-HOF2,HOES20K20
HOM0-HOG1,HOES8M20
HOM0-HOH1,HOES9M20
HOM0-HOJ1,HOES10M20
HOM0-HOK1,HOES11M20
HOM0-HOM1,HOES12M20
HOM0-HON1,HOES13M20
HOM0-HOQ1,HOES14M20
HOM0-HOU1,HOES15M20
HOM0-HOV1,HOES16M20
HOM0-HOX1,HOES17M20
HOM0-HOZ1,HOES18M20
HOM0-HOF2,HOES19M20
HON0-HOG1,HOES7N20
HON0-HOH1,HOES8N20
HON0-HOJ1,HOES9N20
HON0-HOK1,HOES10N20
HON0-HOM1,HOES11N20
HON0-HON1,HOES12N20
HOU9-HOK0,HOES8U19
HON0-HOQ1,HOES13N20
HON0-HOU1,HOES14N20
HON0-HOV1,HOES15N20
HON0-HOX1,HOES16N20
HON0-HOZ1,HOES17N20
HON0-HOF2,HOES18N20
HOQ0-HOG1,HOES6Q20
HOQ0-HOH1,HOES7Q20
HOQ0-HOJ1,HOES8Q20
HOQ0-HOK1,HOES9Q20
HOQ0-HOM1,HOES10Q20
HOQ0-HON1,HOES11Q20
HOQ0-HOQ1,HOES12Q20
HOQ0-HOU1,HOES13Q20
HOU9-HOM0,HOES9U19
HOV9-HOF1,HOES15V19
HOX9-HOG0,HOES3X19
HOQ0-HOV1,HOES14Q20
HOQ0-HOX1,HOES15Q20
HOQ0-HOZ1,HOES16Q20
HOQ0-HOF2,HOES17Q20
HOU0-HOG1,HOES5U20
HOU0-HOH1,HOES6U20
HOU0-HOJ1,HOES7U20
HOU0-HOK1,HOES8U20
HOU0-HOM1,HOES9U20
HOU0-HON1,HOES10U20
HOU0-HOQ1,HOES11U20
HOU0-HOU1,HOES12U20
HOU0-HOV1,HOES13U20
HOU0-HOX1,HOES14U20
HOU0-HOZ1,HOES15U20
HOU0-HOF2,HOES16U20
HOV0-HOG1,HOES4V20
HOV0-HOH1,HOES5V20
HOV0-HOJ1,HOES6V20
HOV0-HOK1,HOES7V20
HOV0-HOM1,HOES8V20
HOV0-HON1,HOES9V20
HOV0-HOQ1,HOES10V20
HOV0-HOU1,HOES11V20
HOV0-HOV1,HOES12V20
HOV0-HOX1,HOES13V20
HOV0-HOZ1,HOES14V20
HOV0-HOF2,HOES15V20
HOX0-HOG1,HOES3X20
HOX0-HOH1,HOES4X20
HOU9-HON0,HOES10U19
HOU9-HOQ0,HOES11U19
HOU9-HOU0,HOES12U19
HOU9-HOV0,HOES13U19
HOU9-HOX0,HOES14U19
HOU9-HOZ0,HOES15U19
HOU9-HOF1,HOES16U19
HOX0-HOJ1,HOES5X20
HOV9-HOG0,HOES4V19
HOX0-HOK1,HOES6X20
HOX0-HOM1,HOES7X20
HOX0-HON1,HOES8X20
HOX0-HOQ1,HOES9X20
HOX0-HOU1,HOES10X20
HOX0-HOV1,HOES11X20
HOX0-HOX1,HOES12X20
HOV9-HOH0,HOES5V19
HOV9-HOJ0,HOES6V19
HOV9-HOK0,HOES7V19
HOV9-HOM0,HOES8V19
HOV9-HON0,HOES9V19
HOV9-HOQ0,HOES10V19
HOV9-HOU0,HOES11V19
HOV9-HOV0,HOES12V19
HOV9-HOX0,HOES13V19
HOV9-HOZ0,HOES14V19
HOX0-HOZ1,HOES13X20
HOX0-HOF2,HOES14X20
HOZ0-HOG1,HOES2Z20
HOZ0-HOH1,HOES3Z20
HOZ0-HOJ1,HOES4Z20
HOZ0-HOK1,HOES5Z20
HOZ0-HOM1,HOES6Z20
HOZ0-HON1,HOES7Z20
HOZ0-HOQ1,HOES8Z20
HOZ0-HOU1,HOES9Z20
HOZ0-HOV1,HOES10Z20
HOZ0-HOX1,HOES11Z20
HOZ0-HOZ1,HOES12Z20
HOZ0-HOF2,HOES13Z20
HOF1-HOG1,HOES1F21
HOF1-HOH1,HOES2F21
HOF1-HOJ1,HOES3F21
HOF1-HOK1,HOES4F21
HOF1-HOM1,HOES5F21
HOF1-HON1,HOES6F21
HOF1-HOQ1,HOES7F21
HOF1-HOU1,HOES8F21
HOF1-HOV1,HOES9F21
HOF1-HOX1,HOES10F21
HOF1-HOZ1,HOES11F21
HOF1-HOF2,HOES12F21
HOG1-HOH1,HOES1G21
HOG1-HOJ1,HOES2G21
HOG1-HOK1,HOES3G21
HOG1-HOM1,HOES4G21
HOG1-HON1,HOES5G21
HOG1-HOQ1,HOES6G21
HOG1-HOU1,HOES7G21
HOG1-HOV1,HOES8G21
HOG1-HOX1,HOES9G21
HOG1-HOZ1,HOES10G21
HOG1-HOF2,HOES11G21
HOH1-HOJ1,HOES1H21
HOH1-HOK1,HOES2H21
HOH1-HOM1,HOES3H21
HOH1-HON1,HOES4H21
HOH1-HOQ1,HOES5H21
HOH1-HOU1,HOES6H21
HOH1-HOV1,HOES7H21
HOH1-HOX1,HOES8H21
HOH1-HOZ1,HOES9H21
HOH1-HOF2,HOES10H21
HOJ1-HOK1,HOES1J21
HOJ1-HOM1,HOES2J21
HOJ1-HON1,HOES3J21
HOJ1-HOQ1,HOES4J21
HOJ1-HOU1,HOES5J21
HOJ1-HOV1,HOES6J21
HOJ1-HOX1,HOES7J21
HOJ1-HOZ1,HOES8J21
HOJ1-HOF2,HOES9J21
HOK1-HOM1,HOES1K21
HOK1-HON1,HOES2K21
HOK1-HOQ1,HOES3K21
HOK1-HOU1,HOES4K21
HOK1-HOV1,HOES5K21
HOK1-HOX1,HOES6K21
HOK1-HOZ1,HOES7K21
HOK1-HOF2,HOES8K21
HOM1-HON1,HOES1M21
HOM1-HOQ1,HOES2M21
HOM1-HOU1,HOES3M21
HOM1-HOV1,HOES4M21
HOM1-HOX1,HOES5M21
HOM1-HOZ1,HOES6M21
HOM1-HOF2,HOES7M21
HON1-HOQ1,HOES1N21
HOU9-HOG0,HOES5U19
HOU9-HOG1,HOES17U19
HOU9-HOH1,HOES18U19
HOU9-HOJ1,HOES19U19
HOU9-HOK1,HOES20U19
HOU9-HOH0,HOES6U19
HOU9-HOJ0,HOES7U19
HOU9-HOM1,HOES21U19
HOU9-HON1,HOES22U19
HOH0-HOX0,HOES8H20
HOH0-HOZ0,HOES9H20
HOU9-HOQ1,HOES23U19
HOH0-HOF1,HOES10H20
HOJ0-HOK0,HOES1J20
HOJ0-HOV0,HOES6J20
HOU9-HOU1,HOES24U19
HOU9-HOV1,HOES25U19
HOU9-HOX1,HOES26U19
HOJ0-HOX0,HOES7J20
HOJ0-HOZ0,HOES8J20
HOJ0-HOF1,HOES9J20
HOK0-HOM0,HOES1K20
HOK0-HON0,HOES2K20
HOF0-HOH0,HOES2F20
HOU9-HOZ1,HOES27U19
HOU9-HOF2,HOES28U19
HOF0-HOJ0,HOES3F20
HOV9-HOG1,HOES16V19
HOV9-HOH1,HOES17V19
HON1-HOU1,HOES2N21
HOF0-HOK0,HOES4F20
HOF0-HOM0,HOES5F20
HOF0-HON0,HOES6F20
HON1-HOV1,HOES3N21
HON1-HOX1,HOES4N21
HON1-HOZ1,HOES5N21
HOF0-HOU0,HOES8F20
HOF0-HOQ0,HOES7F20
HOF0-HOV0,HOES9F20
HOF0-HOX0,HOES10F20
HOF0-HOZ0,HOES11F20
HOF0-HOF1,HOES12F20
HON0-HOZ0,HOES5N20
HON1-HOF2,HOES6N21
HON0-HOF1,HOES6N20
HOQ0-HOU0,HOES1Q20
HOQ1-HOU1,HOES1Q21
HOQ0-HOV0,HOES2Q20
HOQ0-HOX0,HOES3Q20
HOQ0-HOZ0,HOES4Q20
HOQ1-HOV1,HOES2Q21
HOQ0-HOF1,HOES5Q20
HOU0-HOV0,HOES1U20
HOX9-HOZ0,HOES13X19
HOX9-HOF1,HOES14X19
HOZ9-HOG0,HOES2Z19
HOZ9-HOH0,HOES3Z19
HOZ9-HOJ0,HOES4Z19
HOZ9-HOK0,HOES5Z19
HOZ9-HOM0,HOES6Z19
HOZ9-HON0,HOES7Z19
HOZ9-HOQ0,HOES8Z19
HOG0-HOF1,HOES11G20
HOQ1-HOX1,HOES3Q21
HOQ1-HOZ1,HOES4Q21
HOH0-HOJ0,HOES1H20
HOH0-HOK0,HOES2H20
HOM0-HOF1,HOES7M20
HOQ1-HOF2,HOES5Q21
HOU1-HOV1,HOES1U21
HOU1-HOX1,HOES2U21
HOU1-HOZ1,HOES3U21
HOU1-HOF2,HOES4U21
HON0-HOQ0,HOES1N20
HON0-HOU0,HOES2N20
HON0-HOV0,HOES3N20
HON0-HOX0,HOES4N20
HOK0-HOQ0,HOES3K20
HOK0-HOU0,HOES4K20
HOK0-HOV0,HOES5K20
HOK0-HOX0,HOES6K20
HOK0-HOZ0,HOES7K20
HOK0-HOF1,HOES8K20
HOM0-HON0,HOES1M20
HOM0-HOQ0,HOES2M20
HOM0-HOU0,HOES3M20
HOM0-HOV0,HOES4M20
HOM0-HOX0,HOES5M20
HOV9-HOJ1,HOES18V19
HOV9-HOK1,HOES19V19
HOM0-HOZ0,HOES6M20
HOU0-HOX0,HOES2U20
HOU0-HOZ0,HOES3U20
HOU0-HOF1,HOES4U20
HOZ9-HOZ0,HOES12Z19
HOV9-HOM1,HOES20V19
HOV9-HON1,HOES21V19
HOV9-HOQ1,HOES22V19
HOV9-HOU1,HOES23V19
HOV9-HOV1,HOES24V19
HOV9-HOX1,HOES25V19
HOV9-HOZ1,HOES26V19
HOV9-HOF2,HOES27V19
HOX9-HOG1,HOES15X19
HOX9-HOH1,HOES16X19
HOX9-HOJ1,HOES17X19
HOX9-HOK1,HOES18X19
HOX9-HOM1,HOES19X19
HOX9-HON1,HOES20X19
HOV1-HOX1,HOES1V21
HOV1-HOZ1,HOES2V21
HOV1-HOF2,HOES3V21
HOX1-HOZ1,HOES1X21
HOX1-HOF2,HOES2X21
HOZ1-HOF2,HOES1Z21
HOX9-HOH0,HOES4X19
HOG0-HOH0,HOES1G20
HOG0-HOJ0,HOES2G20
HOG0-HOK0,HOES3G20
HOG0-HOM0,HOES4G20
HOX9-HOQ1,HOES21X19
HOX9-HOU1,HOES22X19
HOX9-HOV1,HOES23X19
HOX9-HOX1,HOES24X19
HOX9-HOZ1,HOES25X19
HOX9-HOF2,HOES26X19
HOZ9-HOG1,HOES14Z19
HOZ9-HOH1,HOES15Z19
HOZ9-HOJ1,HOES16Z19
HOZ9-HOK1,HOES17Z19
HOZ9-HOM1,HOES18Z19
HOZ9-HON1,HOES19Z19
HOZ9-HOQ1,HOES20Z19
HOZ9-HOU1,HOES21Z19
HOZ9-HOV1,HOES22Z19
HOG0-HON0,HOES5G20
HOZ9-HOX1,HOES23Z19
HOZ9-HOF1,HOES13Z19
HOF0-HOG0,HOES1F20
HOV0-HOX0,HOES1V20
HOV0-HOZ0,HOES2V20
HOV0-HOF1,HOES3V20
HOH0-HOM0,HOES3H20
HOH0-HON0,HOES4H20
HOH0-HOQ0,HOES5H20
HOG0-HOQ0,HOES6G20
HOG0-HOU0,HOES7G20
HOG0-HOV0,HOES8G20
HOG0-HOX0,HOES9G20
HOG0-HOZ0,HOES10G20
HOH0-HOU0,HOES6H20
HOH0-HOV0,HOES7H20
HOZ9-HOU0,HOES9Z19
HOZ9-HOZ1,HOES24Z19
HOZ9-HOF2,HOES25Z19
HOZ9-HOV0,HOES10Z19
HOZ9-HOX0,HOES11Z19
HOX0-HOZ0,HOES1X20
HOF0-HOG1,HOES13F20
HOX0-HOF1,HOES2X20
HOZ0-HOF1,HOES1Z20
HOF0-HOH1,HOES14F20
HOX9-HOJ0,HOES5X19
HOX9-HOK0,HOES6X19
HOX9-HOM0,HOES7X19
HOX9-HON0,HOES8X19
HOX9-HOQ0,HOES9X19
HOF0-HOJ1,HOES15F20
HOX9-HOU0,HOES10X19
HOX9-HOV0,HOES11X19
HOF0-HOK1,HOES16F20
HOX9-HOX0,HOES12X19
HOJ0-HOM0,HOES2J20
HOJ0-HON0,HOES3J20
HOJ0-HOQ0,HOES4J20
HOJ0-HOU0,HOES5J20
HOF0-HOM1,HOES17F20
HOF0-HON1,HOES18F20
HOF0-HOQ1,HOES19F20
HOF0-HOU1,HOES20F20
HOF0-HOV1,HOES21F20
HOF0-HOX1,HOES22F20
HOF0-HOZ1,HOES23F20
HOF0-HOF2,HOES24F20
HOG0-HOG1,HOES12G20
HOG0-HOH1,HOES13G20
HOG0-HOJ1,HOES14G20
HOG0-HOK1,HOES15G20
HOG0-HOM1,HOES16G20
